,COMPETITION_WYID_x,MATCH_WYID,PLAYER_WYID,PASSLENGTH,LONGPASSLENGTH,DRIBBLEDISTANCEFROMOPPONENTGOAL,BALLRECOVERIES,DUELS,DEFENSIVEDUELS,OFFENSIVEDUELS,AERIALDUELS,FOULS,GOALS,ASSISTS,PASSES,SMARTPASSES,PASSESTOFINALTHIRD,CROSSES,DRIBBLES,SHOTS,HEADSHOTS,INTERCEPTIONS,SUCCESSFULDEFENSIVEACTION,YELLOWCARDS,REDCARDS,DIRECTREDCARDS,SUCCESSFULATTACKINGACTIONS,FREEKICKS,DIRECTFREEKICKS,CORNERS,PENALTIES,ACCELERATIONS,LOOSEBALLDUELS,MISSEDBALLS,FORWARDPASSES,BACKPASSES,THROUGHPASSES,KEYPASSES,VERTICALPASSES,LONGPASSES,SHOTASSISTS,SHOTONTARGETASSISTS,LINKUPPLAYS,OPPONENTHALFRECOVERIES,DANGEROUSOPPONENTHALFRECOVERIES,BALLLOSSES,LOSSES,OWNHALFLOSSES,DANGEROUSOWNHALFLOSSES,DUELSWON_AVERAGE,DEFENSIVEDUELSWON_AVERAGE,OFFENSIVEDUELSWON_AVERAGE,SUCCESSFULPASSES_AVERAGE,SUCCESSFULSMARTPASSES_AVERAGE,SUCCESSFULCROSSES_AVERAGE,SUCCESSFULFORWARDPASSES_AVERAGE,SUCCESSFULBACKPASSES_AVERAGE,SUCCESSFULTHROUGHPASSES_AVERAGE,SUCCESSFULKEYPASSES_AVERAGE,SUCCESSFULVERTICALPASSES_AVERAGE,SUCCESSFULLONGPASSES_AVERAGE,SUCCESSFULDRIBBLES_AVERAGE,DEFENSIVEACTIONS,ATTACKINGACTIONS,FREEKICKSONTARGET,DIRECTFREEKICKSONTARGET_AVERAGE,SUCCESSFULPENALTIES,SUCCESSFULLINKUPPLAYS_AVERAGE,LOOSEBALLDUELSWON,SUCCESSFULPASSESTOFINALTHIRD_AVERAGE,XGSHOT,XGASSIST,XGSAVE,RECEIVEDPASS,TOUCHINBOX,PROGRESSIVERUN,OFFSIDES,CLEARANCES,SECONDASSISTS,THIRDASSISTS,FOULSSUFFERED,PROGRESSIVEPASSES,COUNTERPRESSINGRECOVERIES,SLIDINGTACKLES,GOALKICKS,SHOTSBLOCKED,SHOTSONTARGET_AVERAGE,SUCCESSFULPROGRESSIVEPASSES_AVERAGE,SUCCESSFULSLIDINGTACKLES_AVERAGE,SUCCESSFULGOALKICKS_AVERAGE,DRIBBLESAGAINST,DRIBBLESAGAINSTWON_AVERAGE,GOALKICKSSHORT,GOALKICKSLONG,FIELDAERIALDUELS,FIELDAERIALDUELSWON_AVERAGE,GKCONCEDEDGOALS,GKSHOTSAGAINST,GKEXITS,GKAERIALDUELS,GKSAVES_AVERAGE,GKSUCCESSFULEXITS_AVERAGE,GKAERIALDUELSWON_AVERAGE,NEWDUELSWON_AVERAGE,NEWDEFENSIVEDUELSWON_AVERAGE,NEWOFFENSIVEDUELSWON_AVERAGE,NEWSUCCESSFULDRIBBLES_AVERAGE,LATERALPASSES,SUCCESSFULLATERALPASSES_AVERAGE,SHORTNAME,COMPETITIONNAME,TEAM_WYID,MATCHLABEL,DATE,COMPETITION_WYID_y,SEASON_WYID,TEAMNAME,COMPETITION_WYID,DUELSWON_PERCENT,DEFENSIVEDUELSWON_PERCENT,OFFENSIVEDUELSWON_PERCENT,AERIALDUELSWON,SUCCESSFULPASSES_PERCENT,SUCCESSFULSMARTPASSES_PERCENT,SUCCESSFULPASSESTOFINALTHIRD_PERCENT,SUCCESSFULCROSSES_PERCENT,SUCCESSFULDRIBBLES_PERCENT,SHOTSONTARGET_PERCENT,HEADSHOTSONTARGET,GOALCONVERSION,DIRECTFREEKICKSONTARGET_PERCENT,PENALTIESCONVERSION,WIN,SUCCESSFULFORWARDPASSES_PERCENT,SUCCESSFULBACKPASSES_PERCENT,SUCCESSFULTHROUGHPASSES_PERCENT,SUCCESSFULKEYPASSES_PERCENT,SUCCESSFULVERTICALPASSES_PERCENT,SUCCESSFULLONGPASSES_PERCENT,SUCCESSFULSHOTASSISTS,SUCCESSFULLINKUPPLAYS_PERCENT,YELLOWCARDSPERFOUL,SUCCESSFULPROGRESSIVEPASSES_PERCENT,SUCCESSFULSLIDINGTACKLES_PERCENT,SUCCESSFULGOALKICKS_PERCENT,DRIBBLESAGAINSTWON_PERCENT,FIELDAERIALDUELSWON_PERCENT,GKSAVES_PERCENT,GKSUCCESSFULEXITS_PERCENT,GKAERIALDUELSWON_PERCENT,NEWDUELSWON_PERCENT,NEWDEFENSIVEDUELSWON_PERCENT,NEWOFFENSIVEDUELSWON_PERCENT,NEWSUCCESSFULDRIBBLES_PERCENT,SUCCESSFULLATERALPASSES_PERCENT,POSITION1NAME,POSITION1CODE,POSITION1PERCENT,POSITION2NAME,POSITION2CODE,POSITION2PERCENT,POSITION3NAME,POSITION3CODE,POSITION3PERCENT,MINUTESONFIELD
437,3135,5745794,1227696,27.92,58.53,91.3,3.91,17.61,7.83,5.87,0.0,0.0,0.0,0.0,11.74,0.0,1.96,1.96,1.96,1.96,0.0,1.96,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,1.96,5.87,1.96,0.0,0.0,3.91,1.96,0.0,0.0,0.0,0.0,0.0,0.0,11.74,5.87,0.0,3.91,1.96,0.0,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,9.79,5.88,0.0,0.0,0.0,0.0,1.96,0.0,0.34,0.0,0.0,11.74,3.91,0.0,0.0,0.0,0.0,0.0,0.0,3.91,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83,5.87,0.0,0.0,3.91,0.0,T. Poupinel,U17 Division,68498.0,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,Amager Academy U17,3135,22.22,25.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,44.44,75.0,0.0,0.0,0.0,Right Winger,rw,100.0,,,,,,,46
442,3135,5745794,1227693,17.54,42.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A. Borgen,U17 Division,,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,,3135,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right Back,rb,100.0,,,,,,,41
443,3135,5745794,1226747,22.55,34.73,16.5,1.84,18.37,1.84,13.78,1.84,0.92,1.84,0.0,14.69,0.0,2.76,0.92,3.67,4.59,0.92,0.92,1.84,0.0,0.0,0.0,7.35,0.0,0.0,0.0,0.0,0.0,0.92,0.0,8.27,0.92,0.92,1.84,4.59,1.84,1.84,1.84,0.92,0.92,0.0,0.0,8.27,1.84,0.0,8.27,0.0,6.43,11.94,0.0,0.92,6.43,0.92,0.92,1.84,3.67,1.84,3.67,2.76,9.18,0.0,0.0,0.0,0.92,0.0,2.76,1.81,0.43,0.0,13.78,8.27,2.76,0.0,0.0,0.0,0.0,0.0,6.43,1.84,0.0,0.0,0.0,2.76,6.43,0.0,0.0,0.92,0.0,0.0,0.0,1.84,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.92,6.43,3.67,4.59,3.67,T. Rasmussen,U17 Division,68498.0,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,Amager Academy U17,3135,45.0,0.0,46.67,100.0,81.25,0.0,100.0,100.0,100.0,60.0,0.0,40.0,0.0,0.0,0.0,77.78,100.0,100.0,100.0,80.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,50.0,46.67,100.0,80.0,Striker,cf,100.0,,,,,,,98
448,3135,5745794,1226745,16.77,29.91,0.0,15.79,23.68,14.21,3.16,6.32,0.0,0.0,0.0,39.47,0.0,4.74,0.0,0.0,0.0,0.0,15.79,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.95,1.58,0.0,0.0,9.47,1.58,0.0,0.0,0.0,4.74,0.0,0.0,11.05,3.16,0.0,9.47,4.74,1.58,26.84,0.0,0.0,9.47,1.58,0.0,0.0,9.47,0.0,0.0,34.74,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,26.84,3.16,0.0,0.0,6.32,0.0,0.0,0.0,4.74,4.74,4.74,1.58,1.58,0.0,1.58,4.74,1.58,6.32,1.58,1.58,0.0,6.32,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.21,9.47,1.58,0.0,9.47,9.47,G. Guido,U17 Division,68498.0,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,Amager Academy U17,3135,40.0,33.33,50.0,50.0,68.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.33,100.0,100.0,25.0,50.0,0.0,0.0,0.0,60.0,66.67,50.0,0.0,100.0,Left Centre Back,lcb,100.0,,,,,,,57
453,3135,5745794,1226742,22.61,34.18,0.0,11.94,5.51,0.92,0.0,1.84,0.0,0.0,0.0,50.51,0.0,2.76,0.0,0.0,0.92,0.92,4.59,6.43,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,2.76,0.0,23.88,2.76,0.0,0.92,23.88,8.27,0.92,0.92,0.0,1.84,1.84,0.0,8.27,3.67,0.0,2.76,0.92,0.0,40.41,0.0,0.0,15.61,2.76,0.0,0.92,22.04,2.76,0.0,6.43,0.92,0.0,0.0,0.0,0.0,1.84,0.0,0.25,0.07,0.0,30.31,1.84,0.0,0.0,3.67,0.92,0.0,0.0,9.18,7.35,0.92,5.51,0.92,0.92,3.67,0.92,5.51,0.92,0.92,5.51,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.92,0.0,0.0,23.88,22.04,E. Dige,U17 Division,68498.0,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,Amager Academy U17,3135,50.0,100.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,65.38,100.0,0.0,100.0,92.31,33.33,100.0,0.0,0.0,40.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,92.31,Right Centre Back,rcb,100.0,,,,,,,98
458,3135,5745794,1195664,25.74,36.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J. Christian Hoxer,U17 Division,,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,,3135,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left Centre Back (3 at the back),lcb3,100.0,,,,,,,23
459,3135,5745794,1195224,24.55,40.51,0.0,9.64,22.5,20.89,1.61,0.0,1.61,0.0,0.0,35.36,0.0,14.46,0.0,0.0,0.0,0.0,6.43,19.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29,1.61,0.0,0.0,11.25,11.25,0.0,0.0,0.0,3.21,0.0,0.0,9.64,6.43,3.21,3.21,1.61,1.61,30.54,0.0,0.0,14.46,1.61,0.0,0.0,11.25,9.64,0.0,27.32,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,25.71,0.0,0.0,0.0,0.0,0.0,0.0,1.61,14.46,3.21,0.0,0.0,0.0,0.0,12.86,0.0,0.0,8.04,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.46,12.86,1.61,0.0,11.25,11.25,T. Wise,U17 Division,64992.0,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,Hobro IK U17,3135,14.29,7.69,100.0,0.0,86.36,0.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,100.0,0.0,0.0,100.0,85.71,0.0,0.0,0.0,88.89,0.0,0.0,40.0,0.0,0.0,0.0,0.0,64.29,61.54,100.0,0.0,100.0,Right Centre Back (3 at the back),rcb3,100.0,,,,,,,56
466,3135,5745794,1187482,13.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N. Meyer Jahnsen,U17 Division,,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,,3135,28.57,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left Winger,lw,100.0,,,,,,,22
467,3135,5745794,1187479,16.57,6.25,66.2,8.65,13.85,5.19,8.65,0.0,0.0,0.0,0.0,50.19,0.0,1.73,1.73,3.46,1.73,0.0,5.19,10.38,0.0,0.0,0.0,5.19,0.0,0.0,1.73,0.0,0.0,0.0,1.73,19.04,10.38,0.0,0.0,12.12,1.73,1.73,0.0,0.0,0.0,0.0,0.0,22.5,12.12,0.0,5.19,1.73,3.46,34.62,0.0,1.73,13.85,6.92,0.0,0.0,10.38,0.0,1.73,10.38,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.18,0.0,41.54,1.73,3.46,0.0,1.73,0.0,0.0,0.0,15.58,5.19,0.0,0.0,1.73,1.73,6.92,0.0,0.0,1.73,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65,5.19,3.46,1.73,12.12,10.38,M. Lillevang Andersen,U17 Division,,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,,3135,37.5,33.33,40.0,0.0,68.97,0.0,0.0,100.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,72.73,66.67,0.0,0.0,85.71,0.0,100.0,0.0,0.0,44.44,0.0,0.0,100.0,0.0,0.0,0.0,0.0,62.5,100.0,40.0,50.0,85.71,Left Back,lb,100.0,,,,,,,52
468,3135,5745794,1170249,17.5,28.43,54.7,11.02,25.71,8.27,10.1,2.76,0.92,0.0,0.0,19.29,0.0,1.84,1.84,6.43,1.84,0.0,5.51,11.94,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,4.59,0.0,6.43,5.51,0.0,0.0,5.51,1.84,0.0,0.0,0.0,5.51,0.0,0.0,11.02,3.67,0.0,11.94,0.92,7.35,13.78,0.0,0.0,3.67,5.51,0.0,0.0,3.67,1.84,4.59,13.78,10.11,0.0,0.0,0.0,0.0,2.76,1.84,0.11,0.0,0.0,11.02,2.76,0.0,0.0,0.92,0.0,0.0,1.84,2.76,4.59,0.0,0.0,0.0,0.92,0.92,0.0,0.0,0.92,0.0,0.0,0.0,2.76,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53,6.43,6.43,2.76,5.51,3.67,A. Breum,U17 Division,64992.0,"Amager Academy U17 - Hobro IK U17, 3 - 4",2025-08-16 18:00:00,3135,191811,Hobro IK U17,3135,46.43,11.11,72.73,33.33,71.43,0.0,100.0,0.0,71.43,50.0,0.0,0.0,0.0,0.0,100.0,57.14,100.0,0.0,0.0,66.67,100.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,64.29,77.78,63.64,42.86,66.67,Left Centre Midfielder,lcmf3,84.0,Right Back (5 at the back),rb5,15.0,,,,98
